,,"Ambient air pollution attributable deaths"
,,"2012"
"Country","Causes",""
"Afghanistan","","11 145"
"Albania","","1 842"
"Algeria","","11 424"
"Andorra","","22"
"Angola","","7 058"
"Antigua and Barbuda","","19"
"Argentina","","9 756"
"Armenia","","2 750"
"Australia","","93"
"Austria","","2 890"
"Azerbaijan","","4 297"
"Bahamas","","75"
"Bahrain","","148"
"Bangladesh","","37 449"
"Barbados","","47"
"Belarus","","9 450"
"Belgium","","3 343"
"Belize","","36"
"Benin","","2 606"
"Bhutan","","192"
"Bolivia (Plurinational State of)","","2 521"
"Bosnia and Herzegovina","","3 538"
"Botswana","","273"
"Brazil","","26 241"
"Brunei Darussalam","","1"
"Bulgaria","","8 634"
"Burkina Faso","","4 623"
"Burundi","","3 001"
"C̫te d'Ivoire","","4 970"
"Cabo Verde","","156"
"Cambodia","","2 934"
"Cameroon","","7 000"
"Canada","","1 886"
"Central African Republic","","1 215"
"Chad","","4 340"
"Chile","","2 822"
"China","","1 032 833"
"Colombia","","6 502"
"Comoros","","14"
"Congo","","1 244"
"Cook Islands","","0"
"Costa Rica","","644"
"Croatia","","2 842"
"Cuba","","4 127"
"Cyprus","","223"
"Czechia","","6 110"
"Democratic People's Republic of Korea","","15 596"
"Democratic Republic of the Congo","","23 034"
"Denmark","","1 138"
"Djibouti","","212"
"Dominica","","15"
"Dominican Republic","","2 008"
"Ecuador","","1 771"
"Egypt","","43 531"
"El Salvador","","1 498"
"Equatorial Guinea","","228"
"Eritrea","","1 243"
"Estonia","","319"
"Ethiopia","","13 257"
"Fiji","","208"
"Finland","","327"
"France","","10 954"
"Gabon","","385"
"Gambia","","386"
"Georgia","","3 741"
"Germany","","26 160"
"Ghana","","5 728"
"Greece","","5 008"
"Grenada","","24"
"Guatemala","","1 980"
"Guinea","","2 466"
"Guinea-Bissau","","464"
"Guyana","","230"
"Haiti","","3 022"
"Honduras","","1 575"
"Hungary","","8 147"
"Iceland","","21"
"India","","621 138"
"Indonesia","","61 792"
"Iran (Islamic Republic of)","","26 267"
"Iraq","","10 085"
"Ireland","","681"
"Israel","","1 219"
"Italy","","21 057"
"Jamaica","","693"
"Japan","","30 790"
"Jordan","","1 483"
"Kazakhstan","","10 293"
"Kenya","","5 102"
"Kiribati","","3"
"Kuwait","","487"
"Kyrgyzstan","","2 129"
"Lao People's Democratic Republic","","1 857"
"Latvia","","1 859"
"Lebanon","","1 434"
"Lesotho","","387"
"Liberia","","236"
"Libya","","2 054"
"Lithuania","","2 216"
"Luxembourg","","106"
"Madagascar","","4 215"
"Malawi","","2 706"
"Malaysia","","6 251"
"Maldives","","47"
"Mali","","5 218"
"Malta","","129"
"Marshall Islands","","0"
"Mauritania","","978"
"Mauritius","","252"
"Mexico","","16 798"
"Micronesia (Federated States of)","","6"
"Monaco","","9"
"Mongolia","","1 123"
"Montenegro","","382"
"Morocco","","8 134"
"Mozambique","","3 343"
"Myanmar","","22 664"
"Namibia","","306"
"Nauru","","0"
"Nepal","","9 943"
"Netherlands","","4 017"
"New Zealand","","20"
"Nicaragua","","1 247"
"Niger","","6 183"
"Nigeria","","46 750"
"Niue","","0"
"Norway","","636"
"Oman","","477"
"Pakistan","","59 241"
"Palau","","0"
"Panama","","425"
"Papua New Guinea","","519"
"Paraguay","","1 159"
"Peru","","4 239"
"Philippines","","28 696"
"Poland","","26 589"
"Portugal","","1 769"
"Qatar","","179"
"Republic of Korea","","11 523"
"Republic of Moldova","","3 008"
"Romania","","14 497"
"Russian Federation","","140 851"
"Rwanda","","2 227"
"Saint Kitts and Nevis","","0"
"Saint Lucia","","42"
"Saint Vincent and the Grenadines","","23"
"Samoa","","0"
"San Marino","","0"
"Sao Tome and Principe","","24"
"Saudi Arabia","","8 119"
"Senegal","","2 005"
"Serbia","","5 435"
"Seychelles","","0"
"Sierra Leone","","1 783"
"Singapore","","1 094"
"Slovakia","","3 465"
"Slovenia","","732"
"Solomon Islands","","0"
"Somalia","","2 144"
"South Africa","","14 356"
"South Sudan","","2 632"
"Spain","","6 860"
"Sri Lanka","","7 792"
"Sudan","","8 093"
"Suriname","","74"
"Swaziland","","188"
"Sweden","","40"
"Switzerland","","1 482"
"Syrian Arab Republic","","5 994"
"Tajikistan","","3 615"
"Thailand","","22 375"
"The former Yugoslav republic of Macedonia","","1 366"
"Timor-Leste","","210"
"Togo","","1 454"
"Tonga","","0"
"Trinidad and Tobago","","359"
"Tunisia","","4 631"
"Turkey","","32 668"
"Turkmenistan","","3 667"
"Tuvalu","","0"
"Uganda","","7 989"
"Ukraine","","54 507"
"United Arab Emirates","","655"
"United Kingdom of Great Britain and Northern Ireland","","16 355"
"United Republic of Tanzania","","5 765"
"United States of America","","38 043"
"Uruguay","","713"
"Uzbekistan","","16 282"
"Vanuatu","","25"
"Venezuela (Bolivarian Republic of)","","6 113"
"Viet Nam","","27 340"
"Yemen","","6 667"
"Zambia","","2 411"
"Zimbabwe","","1 856"
