,"Mortality rate attributed to unintentional poisoning (per 100 000 population)"
"Country","2015"
"Afghanistan","1.6"
"Albania","0.3"
"Algeria","1.1"
"Angola","5.7"
"Antigua and Barbuda","0.6"
"Argentina","0.8"
"Armenia","0.7"
"Australia","0.5"
"Austria","0.4"
"Azerbaijan","0.7"
"Bahamas","0.3"
"Bahrain","0.3"
"Bangladesh","0.3"
"Barbados","0.5"
"Belarus","3.6"
"Belgium","0.5"
"Belize","0.8"
"Benin","3.2"
"Bhutan","0.9"
"Bolivia (Plurinational State of)","4.5"
"Bosnia and Herzegovina","1.9"
"Botswana","1.5"
"Brazil","0.2"
"Brunei Darussalam","0.2"
"Bulgaria","0.8"
"Burkina Faso","3.1"
"Burundi","5.6"
"C̫te d'Ivoire","4.0"
"Cabo Verde","0.5"
"Cambodia","0.9"
"Cameroon","3.1"
"Canada","0.6"
"Central African Republic","4.9"
"Chad","5.0"
"Chile","0.3"
"China","1.6"
"Colombia","0.3"
"Comoros","3.7"
"Congo","1.8"
"Costa Rica","0.4"
"Croatia","0.3"
"Cuba","0.4"
"Cyprus","0.3"
"Czechia","0.5"
"Democratic People's Republic of Korea","2.3"
"Democratic Republic of the Congo","3.6"
"Denmark","0.4"
"Djibouti","3.0"
"Dominican Republic","0.4"
"Ecuador","0.8"
"Egypt","0.5"
"El Salvador","0.4"
"Equatorial Guinea","2.9"
"Eritrea","3.6"
"Estonia","0.9"
"Ethiopia","2.5"
"Fiji","0.5"
"Finland","0.6"
"France","0.8"
"Gabon","1.5"
"Gambia","2.6"
"Georgia","0.9"
"Germany","0.2"
"Ghana","1.6"
"Greece","0.3"
"Grenada","0.8"
"Guatemala","1.2"
"Guinea","2.9"
"Guinea-Bissau","2.8"
"Guyana","1.0"
"Haiti","2.8"
"Honduras","0.6"
"Hungary","0.4"
"Iceland","0.7"
"India","1.9"
"Indonesia","0.5"
"Iran (Islamic Republic of)","1.4"
"Iraq","0.5"
"Ireland","0.4"
"Israel","0.2"
"Italy","0.5"
"Jamaica","0.5"
"Japan","0.5"
"Jordan","0.7"
"Kazakhstan","2.8"
"Kenya","2.0"
"Kiribati","2"
"Kuwait","0.2"
"Kyrgyzstan","0.9"
"Lao People's Democratic Republic","1.3"
"Latvia","1.4"
"Lebanon","0.4"
"Lesotho","3.1"
"Liberia","2.1"
"Libya","0.8"
"Lithuania","1.2"
"Luxembourg","0.3"
"Madagascar","2.4"
"Malawi","2.7"
"Malaysia","0.6"
"Maldives","0.6"
"Mali","3.2"
"Malta","0.2"
"Mauritania","2.4"
"Mauritius","0.1"
"Mexico","0.5"
"Micronesia (Federated States of)","1.1"
"Mongolia","2.2"
"Montenegro","0.7"
"Morocco","0.7"
"Mozambique","3.3"
"Myanmar","1.8"
"Namibia","2.0"
"Nepal","0.6"
"Netherlands","0.2"
"New Zealand","0.3"
"Nicaragua","0.6"
"Niger","3.6"
"Nigeria","3.1"
"Norway","1.1"
"Oman","0.2"
"Pakistan","1.5"
"Panama","0.6"
"Papua New Guinea","2.0"
"Paraguay","0.5"
"Peru","1.1"
"Philippines","0.2"
"Poland","0.4"
"Portugal","0.3"
"Qatar","0.3"
"Republic of Korea","0.6"
"Republic of Moldova","1.5"
"Romania","0.7"
"Russian Federation","2.1"
"Rwanda","2.7"
"Saint Lucia","0.3"
"Saint Vincent and the Grenadines","0.5"
"Samoa","0.7"
"Sao Tome and Principe","1.4"
"Saudi Arabia","0.9"
"Senegal","2.1"
"Serbia","0.5"
"Seychelles","0.5"
"Sierra Leone","4.7"
"Singapore","0.1"
"Slovakia","0.5"
"Slovenia","0.4"
"Solomon Islands","1.3"
"Somalia","3.7"
"South Africa","1.2"
"South Sudan","3.9"
"Spain","0.4"
"Sri Lanka","0.4"
"Sudan","4.2"
"Suriname","0.7"
"Swaziland","3.3"
"Sweden","0.6"
"Switzerland","0.2"
"Syrian Arab Republic","0.7"
"Tajikistan","1.9"
"Thailand","0.5"
"The former Yugoslav republic of Macedonia","0.4"
"Timor-Leste","1.0"
"Togo","2.5"
"Tonga","1.4"
"Trinidad and Tobago","0.4"
"Tunisia","0.6"
"Turkey","0.5"
"Turkmenistan","1.2"
"Uganda","3.1"
"Ukraine","3.0"
"United Arab Emirates","0.3"
"United Kingdom of Great Britain and Northern Ireland","0.4"
"United Republic of Tanzania","2.4"
"United States of America","1.2"
"Uruguay","0.7"
"Uzbekistan","1.5"
"Vanuatu","0.9"
"Venezuela (Bolivarian Republic of)","0.3"
"Viet Nam","1.0"
"Yemen","2.9"
"Zambia","2.9"
"Zimbabwe","2.1"
