,"Deaths due to malaria (per 100 000 population)"
"Country","2010"
"Afghanistan","0.50"
"Algeria","0.00"
"Angola","64.00"
"Argentina","0.00"
"Armenia","0.00"
"Azerbaijan","0.00"
"Bangladesh","0.90"
"Belize","0.00"
"Benin","104.00"
"Bhutan","0.10"
"Bolivia (Plurinational State of)","0.00"
"Botswana","0.90"
"Brazil","0.10"
"Burkina Faso","191.00"
"Burundi","12.00"
"C̫te d'Ivoire","116.00"
"Cabo Verde","0.10"
"Cambodia","2.70"
"Cameroon","79.00"
"Central African Republic","169.00"
"Chad","172.00"
"China","0.00"
"Colombia","0.40"
"Comoros","36.00"
"Congo","93.00"
"Costa Rica","0.00"
"Democratic People's Republic of Korea","0.00"
"Democratic Republic of the Congo","119.00"
"Djibouti","4.40"
"Dominican Republic","0.10"
"Ecuador","0.00"
"El Salvador","0.00"
"Equatorial Guinea","79.00"
"Eritrea","5.40"
"Ethiopia","4.00"
"Gabon","39.00"
"Gambia","83.00"
"Georgia","0.00"
"Ghana","52.00"
"Guatemala","0.00"
"Guinea","144.00"
"Guinea-Bissau","108.00"
"Guyana","11.00"
"Haiti","5.70"
"Honduras","0.10"
"India","2.40"
"Indonesia","3.60"
"Iran (Islamic Republic of)","0.00"
"Iraq","0.00"
"Kenya","5.10"
"Kyrgyzstan","0.00"
"Lao People's Democratic Republic","3.30"
"Liberia","86.00"
"Madagascar","16.00"
"Malawi","51.00"
"Malaysia","0.10"
"Mali","138.00"
"Mauritania","22.00"
"Mexico","0.00"
"Mozambique","125.00"
"Myanmar","6.80"
"Namibia","0.60"
"Nepal","0.00"
"Nicaragua","0.00"
"Niger","100.00"
"Nigeria","131.00"
"Oman","0.00"
"Pakistan","0.90"
"Panama","0.00"
"Papua New Guinea","44.00"
"Paraguay","0.00"
"Peru","0.10"
"Philippines","0.20"
"Republic of Korea","0.00"
"Russian Federation","0.00"
"Rwanda","4.20"
"Sao Tome and Principe","29.00"
"Saudi Arabia","0.00"
"Senegal","44.00"
"Sierra Leone","177.00"
"Solomon Islands","24.00"
"Somalia","26.00"
"South Africa","0.20"
"Sri Lanka","0.00"
"Suriname","0.20"
"Swaziland","0.10"
"Syrian Arab Republic","0.00"
"Tajikistan","0.00"
"Thailand","0.30"
"Timor-Leste","22.00"
"Togo","63.00"
"Turkey","0.00"
"Turkmenistan","0.00"
"Uganda","52.00"
"United Republic of Tanzania","34.00"
"Uzbekistan","0.00"
"Vanuatu","14.00"
"Venezuela (Bolivarian Republic of)","0.10"
"Viet Nam","0.10"
"Yemen","7.20"
"Zambia","67.00"
"Zimbabwe","62.00"
