,"Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported","Number of suspected meningitis deaths reported"
"Country","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965"
"Algeria","","","","","","","","0","","","","","0","0","0","","6","","","","","","","","","","86","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","","","","","","","","","","","","8","176","359","133","5","129","","","","384","495","364","321","183","348","88","17","33","23","","","","6","25","18","7","101","","","","","","","","","","","",""
"Benin","88","82","112","50","54","64","55","107","67","77","96","89","93","435","125","76","130","70","","","155","","","86","58","268","56","97","43","52","26","45","27","55","29","25","42","40","","56","","","","","","","","","",""
"Botswana","","","","","","","","","","","","","0","0","0","","","2533","","","","","","3","4","4","1","3","","4","1","8","4","7","25","","9","","","","","","","","","","","","",""
"Burkina Faso","353","339","709","588","949","629","1067","1923","1674","746","1115","1329","1750","1936","777","656","872","","4363","321","","","426","319","338","","517","","458","500","1001","690","752","502","306","266","214","196","","","","","","","","","","","",""
"Burundi","","","","","","","","","10","","","19","59","19","5","3","15","","","","","","","","4","19","18","9","25","3","19","22","13","25","7","13","9","10","","","","","","","","","","","",""
"C̫te d'Ivoire","25","34","59","25","28","46","181","190","105","100","74","47","93","21","63","565","324","214","","","","","","","11","483","322","144","63","105","25","71","130","107","204","219","177","276","","","","","","","","","","","",""
"Cabo Verde","","","","","","","","","0","","","2","0","0","0","","","","","","28","39","40","3","21","10","7","","","","","1","1","","6","2","4","","","","","","","","","","","","",""
"Cameroon","60","68","64","165","71","122","","7","11","","","101","116","165","164","249","323","106","","","56","523","317","318","291","254","241","154","223","235","276","288","164","204","","","91","47","","","","","","","","","","","",""
"Central African Republic","41","31","31","46","106","48","89","152","40","28","","33","96","375","554","234","57","3","","","","111","144","147","170","221","218","120","20","","15","13","34","24","31","42","54","","","","","","","","","","","","",""
"Chad","22","40","163","270","248","152","148","105","158","130","143","151","120","690","852","249","767","125","","","","232","184","","","..","432","..","60","63","51","200","17","7","..","9","219","197","99","172","179","216","431","74","283","42","105","129","43","45"
"Comoros","","","","","","","","","","","","0","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","",""
"Congo","","","","","","","","","","","","6","2","0","0","","","","","","","","","","","","7","","","6","6","","","27","32","59","56","31","","","","","","","","","","","",""
"Democratic Republic of the Congo","994","859","1011","509","926","514","685","1090","882","1071","1846","2370","1100","343","927","","","","","29","","","","","","","","15","1","18","","4","7","6","","6","","","","","","","","","","","","","",""
"Djibouti","","","","","","","","","","","","","","","","","","","","","","","","","","5","10","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt","","","","","","","","","","","","","","","","","","","","","","","","","","","353","172","171","212","187","155","170","100","167","213","277","165","390","467","","","","","","","","","65","58"
"Equatorial Guinea","","","","","","","","0","","","","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","","","","","","","","3","0","","","0","0","0","0","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethiopia","52","","0","9","No data","20","18","1","32","57","146","189","222","467","9","26","","","","10","","","","","109","1512","","27","20","26","37","","619","984","211","10","77","","","","","","","","","","","","",""
"Gabon","","","","","","","","0","7","","","2","1","0","0","","","","","","","","","","27","34","","26","","4","4","10","6","","","4","3","","","","","","","","","","","","",""
"Gambia","38","34","9","","","","","1","0","","","0","5","20","30","","","120","","","","","","","","18","","","","","","","","1","19","","6","","","","","","","","","","","","",""
"Ghana","17","41","75","57","128","63","89","135","107","93","165","234","295","300","240","135","224","1472","","19","176","251","354","83","67","83","98","108","154","174","221","31","38","49","59","29","32","59","","62","","","","","","","","","",""
"Guinea","55","51","13","","11","8","58","8","17","","","10","35","15","0","34","10","4","","34","151","183","69","","39","89","50","20","","189","","","","","","","2","4","","","","","","","","","","","",""
"Guinea-Bissau","","","","","","","","","","","","","0","0","0","402","26","","","","","","","","","","","","","","","","","3","","4","1","","","","","","","","","","","","",""
"Kenya","","","","","","","","43","20","","","","2","0","0","4","","","","","","","","","","","","","","","","36","47","107","97","152","145","196","","","","","","","","","","","",""
"Lesotho","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Liberia","","","","","","","","2","4","","","0","0","0","0","","7","","","","8","6","","","","","","42","","19","7","50","50","79","70","50","57","5","","","","","","","","","","","",""
"Madagascar","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","8","","","2","","","","","","","","","","","","",""
"Malawi","","","","","","","","","","","","","","","","","","","","","","","","","","354","29","159","","","","","","125","","","","264","","","","","","","","","","","",""
"Mali","4","7","12","17","34","28","85","47","75","23","57","73","61","127","93","117","285","1126","","177","","","","","81","71","12","131","155","183","63","170","358","498","76","96","62","106","","","","","","","","","","","",""
"Mauritania","0","5","6","","","","","","0","","","3","5","6","41","52","3","2","","","","","","","","9","12","13","","11","","9","","","","","","1","","","","","","","","","","","",""
"Mauritius","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","13","13","","1","23","10","","","","","","","","","","","","","","","","","",""
"Morocco","","","","","","","","","","","","","","","","","","","","","","","","","","170","92","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","","","","","","","","80","289","","","121","143","191","138","45","103","118","","","","","","38","22","31","169","134","89","3","14","32","34","27","65","43","54","12","3","4","","","","","","","","","",""
"Namibia","","","","","","","","","","","","","0","17","14","","","","","4","224","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","40","44","56","145","251","558","246","106","325","162","337","710","435","687","1004","488","301","559","","2491","1011","1074","712","402","218","167","140","175","790","69","82","74","110","187","293","309","580","216","","","","","","","","","","","",""
"Nigeria","81","47","74","62","337","2488","492","242","437","48","97","531","389","403","508","165","650","","","","","","","","","997","495","1217","1310","62","58","61","68","38","51","193","2511","835","","","","","","","","","","","",""
"Rwanda","","","","","","","","4","9","","","1","152","4","28","44","27","4","","","","","71","","24","47","42","34","31","8","8","12","8","36","31","164","179","3","","","","","","","","","","","",""
"Sao Tome and Principe","","","","","","","","","","","","","0","0","3","","","","","","","","","","","1","","2","1","3","6","5","","","1","1","1","","","","","","","","","","","","",""
"Senegal","12","10","28","","","","","6","10","","","8","9","204","0","482","372","4","","","","","","","","","7","18","29","44","112","222","149","91","66","82","77","76","","","","","","","","","","","",""
"Seychelles","","","","","","","","0","","","","","","","","","","","","","5","9","5","5","4","5","","4","5","3","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","","","","","","","","0","1","","","","","","","","","","","102","","","","","","","","","","","3","","","3","32","","","","","","","","","","","","","","",""
"South Africa","","","","","","","","","","","","7","39","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Sudan","2","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sudan","5","49","25","","98","","27","778","475","124","175","158","455","336","468","2508","","","","","","","","691","108","703","2067","","","","","","","","","","","","","","","","","","","","","","",""
"Swaziland","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","14","22","35","43","94","47","63","65","37","46","47","82","135","228","151","68","77","499","","","","","","","","147","8","36","8","4","9","30","1","","10","10","23","10","","","","","","","","","","","",""
"Uganda","","","","","","","22","143","37","","","72","50","18","12","","","","","","","474","197","164","342","237","34","","","","3","48","5","12","6","6","32","58","","","","","","","","","","","",""
"United Republic of Tanzania","","","","","","","","0","100","","","40","84","14","88","59","","26","","","","268","","","56","","","","","","","","114","","","","196","","","","","","","","","","","","",""
"Zambia","","","","","","","","11","","","","","0","17","0","","..","34","","","","61","1035","790","788","400","427","550","42","51","","","88","76","66","58","83","29","","","","","","","","","","","",""
"Zimbabwe","","","","","","","","","","","","","0","0","1","5","12","8","","","","","8","83","27","27","24","2","","24","","12","29","4","6","9","","","","","","","","","","","","","",""
